Event	ID	Name			Wwise Object Path	Notes
	1149417670	Play_Special_fire			\Default Work Unit\Player\Abilities\Play_Special_fire	
	1455468846	Play_Squid_hit			\Default Work Unit\Enemies\Squid\Play_Squid_hit	
	1602358412	Play_footstep			\Default Work Unit\Player\Movement\Play_footstep	
	1647081223	Stop_obelisk			\Default Work Unit\Ambiences\Obelisk\Stop_obelisk	
	2211787386	Play_Dash			\Default Work Unit\Player\Abilities\Play_Dash	
	2323405115	Play_landing			\Default Work Unit\Player\Movement\Play_landing	
	2405798708	Play_Grenade			\Default Work Unit\Player\Abilities\Grenade\Play_Grenade	
	2492084817	Play_Grenade_throw			\Default Work Unit\Player\Abilities\Grenade\Play_Grenade_throw	
	2725535549	Stop_Wind_ambience			\Default Work Unit\Ambiences\Stop_Wind_ambience	
	2989619110	Play_grunt_hit			\Default Work Unit\Enemies\Grunt\Play_grunt_hit	
	2990404959	Play_Obelisk_passive			\Default Work Unit\Ambiences\Obelisk\Play_Obelisk_passive	
	3025897706	Play_Birds			\Default Work Unit\Ambiences\Play_Birds	
	3110216747	Play_Wind_ambience			\Default Work Unit\Ambiences\Play_Wind_ambience	
	3128913152	Play_Pickup_item			\Default Work Unit\Player\Other\Play_Pickup_item	
	3218574908	Play_big_grunt_die			\Default Work Unit\Enemies\Grunt\Play_big_grunt_die	
	3350824361	Play_big_grunt_hit			\Default Work Unit\Enemies\Grunt\Play_big_grunt_hit	
	3392973459	Play_grunt_die			\Default Work Unit\Enemies\Grunt\Play_grunt_die	
	3537222909	Play_Grenade_splat			\Default Work Unit\Player\Abilities\Grenade\Play_Grenade_splat	
	3563057235	Play_Primary_Fire			\Default Work Unit\Player\Abilities\Play_Primary_Fire	
	3577284316	Play_Start_Obelisk			\Default Work Unit\Ambiences\Obelisk\Play_Start_Obelisk	

Game Parameter	ID	Name			Wwise Object Path	Notes
	1216965916	Stone			\Player\Surface_percantage\Stone	
	1308554018	Obelisk_progress			\Environment\Obelisk_progress	
	2185786256	Gravel			\Player\Surface_percantage\Gravel	
	4248645337	Grass			\Player\Surface_percantage\Grass	

Effect plug-ins	ID	Name	Type				Notes
	602546716	Room_Large	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	30634264	Ambience, Birdsong, Singing Birds, Early Morning SND11282 7	C:\Users\woute\OneDrive - Saxion\Documents\School\Y2\`Y3\Minor skilled\WWise project\Roguelike Minor\.cache\Windows\SFX\Ambience, Birdsong, Singing Birds, Early Morning SND11282 7_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Ambience\Birds\Ambience, Birdsong, Singing Birds, Early Morning SND11282 7		1550632
	59103797	Stone_footstep 5	C:\Users\woute\OneDrive - Saxion\Documents\School\Y2\`Y3\Minor skilled\WWise project\Roguelike Minor\.cache\Windows\SFX\015_Foley_Footsteps_Asphalt_Boot_Walk_Fast_Run_Jog_Close 3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Footstep\Stone_footsteps\Stone_footstep 5		25838
	89932490	Gravel_footstep 2	C:\Users\woute\OneDrive - Saxion\Documents\School\Y2\`Y3\Minor skilled\WWise project\Roguelike Minor\.cache\Windows\SFX\Footsteps, Human, Gravel, Walk SND62071 1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Footstep\Gravel_footsteps\Gravel_footstep 2		69970
	90731653	Squid_hit 3	C:\Users\woute\OneDrive - Saxion\Documents\School\Y2\`Y3\Minor skilled\WWise project\Roguelike Minor\.cache\Windows\SFX\Bloody_Squish_Fienup_CLASSIC_006 5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Squid\Squid_hit\Squid_hit 3		40920
	110500809	Grass_footstep 6	C:\Users\woute\OneDrive - Saxion\Documents\School\Y2\`Y3\Minor skilled\WWise project\Roguelike Minor\.cache\Windows\SFX\169_Foley_Footsteps_Grass_Sneaker_Walk_Fast_Run_Jog_Close 5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Footstep\Grass_footsteps\Grass_footstep 6		24342
	114167700	Grass_footstep 5	C:\Users\woute\OneDrive - Saxion\Documents\School\Y2\`Y3\Minor skilled\WWise project\Roguelike Minor\.cache\Windows\SFX\169_Foley_Footsteps_Grass_Sneaker_Walk_Fast_Run_Jog_Close 4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Footstep\Grass_footsteps\Grass_footstep 5		25958
	137129379	Obelisk_charge_pulse	C:\Users\woute\OneDrive - Saxion\Documents\School\Y2\`Y3\Minor skilled\WWise project\Roguelike Minor\.cache\Windows\SFX\Obelisk_charge_pulse_9AF7B267.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Obelisk\Obelisk_charge_pulse		6965404
